epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.08923108130693436,4.375460147857666,0.001,0.09420289844274521,3.328122854232788
1,0.18781083822250366,3.4944188594818115,0.001,0.25334975123405457,2.9659175872802734
2,0.4899933338165283,2.087559700012207,0.001,0.6149166226387024,2.715003252029419
3,0.7612072825431824,1.0116814374923706,0.001,0.8262920379638672,1.199987530708313
4,0.7996786832809448,0.7257152199745178,0.001,0.7844544649124146,0.9869814515113831
5,0.8363726735115051,0.5922377109527588,0.001,0.7724910974502563,1.149267315864563
6,0.932422935962677,0.2347463220357895,0.001,0.9691687226295471,0.09888981282711029
7,0.9464886784553528,0.191066175699234,0.001,0.9453103542327881,0.18386688828468323
8,0.9391909241676331,0.2311059683561325,0.001,0.9630845189094543,0.11777535825967789
9,0.9657841920852661,0.12668795883655548,0.001,0.9723817110061646,0.0894138514995575
